datekey,calendardate,calendaryear,calendarmonthnumber,calendarmonthname,calendarmonthstart,calendarmonthend
20210509,5/9/2021,2021,5,May,20210501,20210531
20210510,5/10/2021,2021,5,May,20210501,20210531
20210511,5/11/2021,2021,5,May,20210501,20210531
20210512,5/12/2021,2021,5,May,20210501,20210531
20210513,5/13/2021,2021,5,May,20210501,20210531
20210514,5/14/2021,2021,5,May,20210501,20210531
20210515,5/15/2021,2021,5,May,20210501,20210531
20210516,5/16/2021,2021,5,May,20210501,20210531
20210517,5/17/2021,2021,5,May,20210501,20210531
20210518,5/18/2021,2021,5,May,20210501,20210531
20210519,5/19/2021,2021,5,May,20210501,20210531
20210520,5/20/2021,2021,5,May,20210501,20210531
20210521,5/21/2021,2021,5,May,20210501,20210531
20210522,5/22/2021,2021,5,May,20210501,20210531
20210523,5/23/2021,2021,5,May,20210501,20210531
20210524,5/24/2021,2021,5,May,20210501,20210531
20210525,5/25/2021,2021,5,May,20210501,20210531
20210526,5/26/2021,2021,5,May,20210501,20210531
20210527,5/27/2021,2021,5,May,20210501,20210531
20210528,5/28/2021,2021,5,May,20210501,20210531
20210529,5/29/2021,2021,5,May,20210501,20210531
20210530,5/30/2021,2021,5,May,20210501,20210531
20210531,5/31/2021,2021,5,May,20210501,20210531
20210601,6/1/2021,2021,6,June,20210601,20210630
20210602,6/2/2021,2021,6,June,20210601,20210630
20210603,6/3/2021,2021,6,June,20210601,20210630
20210604,6/4/2021,2021,6,June,20210601,20210630
20210605,6/5/2021,2021,6,June,20210601,20210630
20210606,6/6/2021,2021,6,June,20210601,20210630
20210607,6/7/2021,2021,6,June,20210601,20210630
20210608,6/8/2021,2021,6,June,20210601,20210630
20210609,6/9/2021,2021,6,June,20210601,20210630
20210610,6/10/2021,2021,6,June,20210601,20210630
20210611,6/11/2021,2021,6,June,20210601,20210630
20210612,6/12/2021,2021,6,June,20210601,20210630
20210613,6/13/2021,2021,6,June,20210601,20210630
20210614,6/14/2021,2021,6,June,20210601,20210630
20210615,6/15/2021,2021,6,June,20210601,20210630
20210616,6/16/2021,2021,6,June,20210601,20210630
20210617,6/17/2021,2021,6,June,20210601,20210630
20210618,6/18/2021,2021,6,June,20210601,20210630
20210619,6/19/2021,2021,6,June,20210601,20210630
20210620,6/20/2021,2021,6,June,20210601,20210630
20210621,6/21/2021,2021,6,June,20210601,20210630
20210622,6/22/2021,2021,6,June,20210601,20210630
20210623,6/23/2021,2021,6,June,20210601,20210630
20210624,6/24/2021,2021,6,June,20210601,20210630
20210625,6/25/2021,2021,6,June,20210601,20210630
20210626,6/26/2021,2021,6,June,20210601,20210630
20210627,6/27/2021,2021,6,June,20210601,20210630
20210628,6/28/2021,2021,6,June,20210601,20210630
20210629,6/29/2021,2021,6,June,20210601,20210630
20210630,6/30/2021,2021,6,June,20210601,20210630
20210701,7/1/2021,2021,7,July,20210701,20210731
20210702,7/2/2021,2021,7,July,20210701,20210731
20210703,7/3/2021,2021,7,July,20210701,20210731
20210704,7/4/2021,2021,7,July,20210701,20210731
20210705,7/5/2021,2021,7,July,20210701,20210731
20210706,7/6/2021,2021,7,July,20210701,20210731
20210707,7/7/2021,2021,7,July,20210701,20210731
20210708,7/8/2021,2021,7,July,20210701,20210731
20210709,7/9/2021,2021,7,July,20210701,20210731
20210710,7/10/2021,2021,7,July,20210701,20210731
20210711,7/11/2021,2021,7,July,20210701,20210731
20210712,7/12/2021,2021,7,July,20210701,20210731
20210713,7/13/2021,2021,7,July,20210701,20210731
20210714,7/14/2021,2021,7,July,20210701,20210731
20210715,7/15/2021,2021,7,July,20210701,20210731
20210716,7/16/2021,2021,7,July,20210701,20210731
20210717,7/17/2021,2021,7,July,20210701,20210731
20210718,7/18/2021,2021,7,July,20210701,20210731
20210719,7/19/2021,2021,7,July,20210701,20210731
20210720,7/20/2021,2021,7,July,20210701,20210731
20210721,7/21/2021,2021,7,July,20210701,20210731
20210722,7/22/2021,2021,7,July,20210701,20210731
20210723,7/23/2021,2021,7,July,20210701,20210731
20210724,7/24/2021,2021,7,July,20210701,20210731
20210725,7/25/2021,2021,7,July,20210701,20210731
20210726,7/26/2021,2021,7,July,20210701,20210731
20210727,7/27/2021,2021,7,July,20210701,20210731
20210728,7/28/2021,2021,7,July,20210701,20210731
20210729,7/29/2021,2021,7,July,20210701,20210731
20210730,7/30/2021,2021,7,July,20210701,20210731
20210731,7/31/2021,2021,7,July,20210701,20210731
20210801,8/1/2021,2021,8,August,20210801,20210831
20210802,8/2/2021,2021,8,August,20210801,20210831
20210803,8/3/2021,2021,8,August,20210801,20210831
20210804,8/4/2021,2021,8,August,20210801,20210831
20210805,8/5/2021,2021,8,August,20210801,20210831
20210806,8/6/2021,2021,8,August,20210801,20210831
20210807,8/7/2021,2021,8,August,20210801,20210831
20210808,8/8/2021,2021,8,August,20210801,20210831
20210809,8/9/2021,2021,8,August,20210801,20210831
20210810,8/10/2021,2021,8,August,20210801,20210831
20210811,8/11/2021,2021,8,August,20210801,20210831
20210812,8/12/2021,2021,8,August,20210801,20210831
20210813,8/13/2021,2021,8,August,20210801,20210831
20210814,8/14/2021,2021,8,August,20210801,20210831
20210815,8/15/2021,2021,8,August,20210801,20210831
20210816,8/16/2021,2021,8,August,20210801,20210831
20210817,8/17/2021,2021,8,August,20210801,20210831
20210818,8/18/2021,2021,8,August,20210801,20210831
20210819,8/19/2021,2021,8,August,20210801,20210831
20210820,8/20/2021,2021,8,August,20210801,20210831
20210821,8/21/2021,2021,8,August,20210801,20210831
20210822,8/22/2021,2021,8,August,20210801,20210831
20210823,8/23/2021,2021,8,August,20210801,20210831
20210824,8/24/2021,2021,8,August,20210801,20210831
20210825,8/25/2021,2021,8,August,20210801,20210831
20210826,8/26/2021,2021,8,August,20210801,20210831
20210827,8/27/2021,2021,8,August,20210801,20210831
20210828,8/28/2021,2021,8,August,20210801,20210831
20210829,8/29/2021,2021,8,August,20210801,20210831
20210830,8/30/2021,2021,8,August,20210801,20210831
20210831,8/31/2021,2021,8,August,20210801,20210831
20210901,9/1/2021,2021,9,September,20210901,20210930
20210902,9/2/2021,2021,9,September,20210901,20210930
20210903,9/3/2021,2021,9,September,20210901,20210930
20210904,9/4/2021,2021,9,September,20210901,20210930
20210905,9/5/2021,2021,9,September,20210901,20210930
20210906,9/6/2021,2021,9,September,20210901,20210930
20210907,9/7/2021,2021,9,September,20210901,20210930
20210908,9/8/2021,2021,9,September,20210901,20210930
20210909,9/9/2021,2021,9,September,20210901,20210930
20210910,9/10/2021,2021,9,September,20210901,20210930
20210911,9/11/2021,2021,9,September,20210901,20210930
20210912,9/12/2021,2021,9,September,20210901,20210930
20210913,9/13/2021,2021,9,September,20210901,20210930
20210914,9/14/2021,2021,9,September,20210901,20210930
20210915,9/15/2021,2021,9,September,20210901,20210930
20210916,9/16/2021,2021,9,September,20210901,20210930
20210917,9/17/2021,2021,9,September,20210901,20210930
20210918,9/18/2021,2021,9,September,20210901,20210930
20210919,9/19/2021,2021,9,September,20210901,20210930
20210920,9/20/2021,2021,9,September,20210901,20210930
20210921,9/21/2021,2021,9,September,20210901,20210930
20210922,9/22/2021,2021,9,September,20210901,20210930
20210923,9/23/2021,2021,9,September,20210901,20210930
20210924,9/24/2021,2021,9,September,20210901,20210930
20210925,9/25/2021,2021,9,September,20210901,20210930
20210926,9/26/2021,2021,9,September,20210901,20210930
20210927,9/27/2021,2021,9,September,20210901,20210930
20210928,9/28/2021,2021,9,September,20210901,20210930
20210929,9/29/2021,2021,9,September,20210901,20210930
20210930,9/30/2021,2021,9,September,20210901,20210930
20211001,10/1/2021,2021,10,October,20211001,20211031
20211002,10/2/2021,2021,10,October,20211001,20211031
20211003,10/3/2021,2021,10,October,20211001,20211031
20211004,10/4/2021,2021,10,October,20211001,20211031
20211005,10/5/2021,2021,10,October,20211001,20211031
20211006,10/6/2021,2021,10,October,20211001,20211031
20211007,10/7/2021,2021,10,October,20211001,20211031
20211008,10/8/2021,2021,10,October,20211001,20211031
20211009,10/9/2021,2021,10,October,20211001,20211031
20211010,10/10/2021,2021,10,October,20211001,20211031
20211011,10/11/2021,2021,10,October,20211001,20211031
20211012,10/12/2021,2021,10,October,20211001,20211031
20211013,10/13/2021,2021,10,October,20211001,20211031
20211014,10/14/2021,2021,10,October,20211001,20211031
20211015,10/15/2021,2021,10,October,20211001,20211031
20211016,10/16/2021,2021,10,October,20211001,20211031
20211017,10/17/2021,2021,10,October,20211001,20211031
20211018,10/18/2021,2021,10,October,20211001,20211031
20211019,10/19/2021,2021,10,October,20211001,20211031
20211020,10/20/2021,2021,10,October,20211001,20211031
20211021,10/21/2021,2021,10,October,20211001,20211031
20211022,10/22/2021,2021,10,October,20211001,20211031
20211023,10/23/2021,2021,10,October,20211001,20211031
20211024,10/24/2021,2021,10,October,20211001,20211031
20211025,10/25/2021,2021,10,October,20211001,20211031
20211026,10/26/2021,2021,10,October,20211001,20211031
20211027,10/27/2021,2021,10,October,20211001,20211031
20211028,10/28/2021,2021,10,October,20211001,20211031
20211029,10/29/2021,2021,10,October,20211001,20211031
20211030,10/30/2021,2021,10,October,20211001,20211031
20211031,10/31/2021,2021,10,October,20211001,20211031
20211101,11/1/2021,2021,11,November,20211101,20211130
20211102,11/2/2021,2021,11,November,20211101,20211130
20211103,11/3/2021,2021,11,November,20211101,20211130
20211104,11/4/2021,2021,11,November,20211101,20211130
20211105,11/5/2021,2021,11,November,20211101,20211130
20211106,11/6/2021,2021,11,November,20211101,20211130
20211107,11/7/2021,2021,11,November,20211101,20211130
20211108,11/8/2021,2021,11,November,20211101,20211130
20211109,11/9/2021,2021,11,November,20211101,20211130
20211110,11/10/2021,2021,11,November,20211101,20211130
20211111,11/11/2021,2021,11,November,20211101,20211130
20211112,11/12/2021,2021,11,November,20211101,20211130
20211113,11/13/2021,2021,11,November,20211101,20211130
20211114,11/14/2021,2021,11,November,20211101,20211130
20211115,11/15/2021,2021,11,November,20211101,20211130
20211116,11/16/2021,2021,11,November,20211101,20211130
20211117,11/17/2021,2021,11,November,20211101,20211130
20211118,11/18/2021,2021,11,November,20211101,20211130
20211119,11/19/2021,2021,11,November,20211101,20211130
20211120,11/20/2021,2021,11,November,20211101,20211130
20211121,11/21/2021,2021,11,November,20211101,20211130
20211122,11/22/2021,2021,11,November,20211101,20211130
20211123,11/23/2021,2021,11,November,20211101,20211130
20211124,11/24/2021,2021,11,November,20211101,20211130
20211125,11/25/2021,2021,11,November,20211101,20211130
20211126,11/26/2021,2021,11,November,20211101,20211130
20211127,11/27/2021,2021,11,November,20211101,20211130
20211128,11/28/2021,2021,11,November,20211101,20211130
20211129,11/29/2021,2021,11,November,20211101,20211130
20211130,11/30/2021,2021,11,November,20211101,20211130
20211201,12/1/2021,2021,12,December,20211201,20211231
20211202,12/2/2021,2021,12,December,20211201,20211231
20211203,12/3/2021,2021,12,December,20211201,20211231
20211204,12/4/2021,2021,12,December,20211201,20211231
20211205,12/5/2021,2021,12,December,20211201,20211231
20211206,12/6/2021,2021,12,December,20211201,20211231
20211207,12/7/2021,2021,12,December,20211201,20211231
20211208,12/8/2021,2021,12,December,20211201,20211231
20211209,12/9/2021,2021,12,December,20211201,20211231
20211210,12/10/2021,2021,12,December,20211201,20211231
20211211,12/11/2021,2021,12,December,20211201,20211231
20210101,1/1/2021,2021,1,January,,20210131
20211223,12/23/2021,2021,12,December,20211201,20211231
20211212,12/12/2021,2021,12,December,20211201,20211231
20211213,12/13/2021,2021,12,December,20211201,20211231
20211214,12/14/2021,2021,12,December,20211201,20211231
20211215,12/15/2021,2021,12,December,20211201,20211231
20211216,12/16/2021,2021,12,December,20211201,20211231
20211217,12/17/2021,2021,12,December,20211201,20211231
20211218,12/18/2021,2021,12,December,20211201,20211231
20211219,12/19/2021,2021,12,December,20211201,20211231
20211220,12/20/2021,2021,12,December,20211201,20211231
20211221,12/21/2021,2021,12,December,20211201,20211231
20211222,12/22/2021,2021,12,December,20211201,20211231
20211223,12/23/2021,2021,12,December,20211201,20211231
20211224,12/24/2021,2021,12,December,20211201,20211231
20211225,12/25/2021,2021,12,December,20211201,20211231
20211226,12/26/2021,2021,12,December,20211201,20211231
20211227,12/27/2021,2021,12,December,20211201,20211231
20211228,12/28/2021,2021,12,December,20211201,20211231
20211229,12/29/2021,2021,12,December,20211201,20211231
20211230,12/30/2021,2021,12,December,20211201,20211231
20211231,12/31/2021,2021,12,December,20211201,20211231
