id,taskname,billable,client_id
201234,Join the Civil Air Patrol 4,Unbillable,0
205679,Participate in a Tomato Battle 4,Unbillable,0
205864,Buy a Cup of Coffee For a Cold Salvation Army Bell Ringer 4,Unbillable,0
208837,Jump Out of a Plane With a Parachute 5,Unbillable,0
198210,Hike the Entire Thames Valley Trail 5,Unbillable,0
198404,Stay in an Overwater Bungalow in Bora Bora 5,Unbillable,0
200626,Go Mountain Climbing 5,Unbillable,0
200702,Do Crosswords Every Day For a Month 5,Unbillable,0
214638,Try Every Kind of Beer in Germany 5,Unbillable,0
219607,Act in a Play 6,Unbillable,0
219609,Dance at Carnival in Rio De Janeiro 6,Unbillable,0
220451,Get 6-Pack Abs 6,Unbillable,0
220542,Visit Every Museum in NYC 6,Unbillable,0
222098,Be Fitter Then Ever 6,Unbillable,0
222181,Participate in a Tomato Battle 6,Unbillable,0
226863,Try Nutella 8,Unbillable,0
228197,Write a Full-Length Play 9,Unbillable,0
228280,Sit in Nature and Just Breathe 9,Unbillable,0
233345,Work on a Crew For a Hot Air Balloon 12,Unbillable,0
235425,"Donate Over $5,000 to Orphanages 13",Unbillable,0
235426,Photoshoot Nude 13,Unbillable,0
235442,Backpack Across South America 13,Unbillable,0
235443,Rope Swing Into Water 13,Unbillable,0
235444,Learn How to Snowboard 13,Unbillable,0
238552,Read 100 Books in One Year 15,Unbillable,0
239302,Visit the Rockefeller Center 15,Unbillable,0
241927,Take my Kids to Sea World 17,Unbillable,0
242488,Make Pancakes in the Shape of Hearts 17,Unbillable,0
242829,Complete 4Hr Body Challenge 18,Unbillable,0
244024,Deadlift 500 Pounds 18,Unbillable,0
244132,Conquer Fear of Snakes 19,Unbillable,0
245755,Go Camping 20,Unbillable,0
247001,Learn to Snorkel 20,Unbillable,0
249338,Visit Every Museum in NYC 22,Unbillable,0
250176,Be Kissed Unexpectedly in the Middle of a Sentence 22,Unbillable,0
251698,Compete in a 3 Point Basketball Contest 23,Unbillable,0
251704,Direct a Movie 23,Unbillable,0
251705,Get my Chakras Aligned 23,Unbillable,0
251723,Backpack Through Hells Canyon 23,Unbillable,0
251728,Get a TEFL Qualification 23,Unbillable,0
204395,Spend a Weekend in Vegas 25,Unbillable,0
204712,Hike the Entire Sentier De L'Etoile 25,Unbillable,0
209210,"Reach 10,000 Likes on my Facebook Page 25",Unbillable,0
214465,Become a Recognized Economist 25,Unbillable,0
214890,Work on a Crew For a Hot Air Balloon 25,Unbillable,0
216196,Go to all of the U.S. National Parks 25,Unbillable,0
216553,Go Bull Riding 25,Unbillable,0
218894,Write a Full-Length Play 26,Unbillable,0
219713,Go to a Nudist Beach 26,Unbillable,0
219714,Sing the National Anthem in Front of a Crowd 26,Unbillable,0
220606,Get 6-Pack Abs 26,Unbillable,0
222344,Become a Famous Business Women 26,Unbillable,0
223958,Create a Tradition of Getting Together 27,Unbillable,0
228412,Play Monopoly 29,Unbillable,0
231345,Go to all the Monopoly Properties 31,Unbillable,0
235446,Make Vodka Gummy Bear 32,Unbillable,0
239301,Take a Picture With an Interesting Stranger 35,Unbillable,0
242415,Learn Ballroom Dancing 37,Unbillable,0
244128,Bake a Rainbow Cake 38,Unbillable,0
245827,Become Fluent in French and Spanish 40,Unbillable,0
246478,Hike Gray (4840 Ft) 40,Unbillable,0
249337,Volunteer at a Blind Camp 43,Unbillable,0
249629,Learn How to Take Criticism 43,Unbillable,0
251699,Go Swimming With Dolphins 45,Unbillable,0
251724,Travel to the Caribbean 45,Unbillable,0
251726,Try One Exotic Food a Day For a Month 45,Unbillable,0
251727,Get Retweeted By a Celebrity 45,Unbillable,0
253713,Swim in the Nile 46,Unbillable,0
3566,Get Into a Pt School 1,Unbillable,1
32305,Create a Tradition of Getting Together 1,Unbillable,1
32301,Bake Cinnamon Rolls 1,Unbillable,1
32307,Kiss at the Top of a Ferris Wheel 1,Unbillable,1
42241,Work For a Feminist Organization 1,Unbillable,1
118153,Hand Write and Send Anonymous Letters 2,Unbillable,1
182599,Learn to Vault 3,Unbillable,1
213876,Fly a Biplane 5,Billable,1
217141,Tell Dad I Love Him 6,Billable,1
217166,Finish First Place 6,Billable,1
217267,Completely Give Up Fast Food For a Month 6,Billable,1
217276,Learn How to Sing 6,Billable,1
217352,"Donate Over $5,000 to Orphanages 6",Billable,1
218754,Learn to Say “Hello” in 15 Languages 6,Billable,1
218773,Kill and Skin a Rabbit 6,Billable,1
218774,Jump Out of a Plane With a Parachute 6,Billable,1
225406,Practice a Sport 7,Billable,1
225407,Compete in a 3 Point Basketball Contest 7,Billable,1
225408,Vegan For a Week 7,Billable,1
225415,Direct a Movie 7,Billable,1
225422,Get my Chakras Aligned 7,Billable,1
228539,Visit Every Museum in NYC 9,Billable,1
228542,Create a Polaroid Wall 9,Billable,1
228582,Hike Gray (4840 Ft) 9,Billable,1
228584,See the Golden Gate Bridge in San Francisco 9,Billable,1
229500,Learn to Play the Ocarina 10,Billable,1
229545,Go to the Top of the Leaning Tower of Pisa 10,Billable,1
230396,Have a Trampoline in my Yard 10,Billable,1
231038,Go to a Film Premiere 11,Billable,1
233144,Learn Argentinean Tango in Argentina 12,Billable,1
233147,Design and Build my Dream House 12,Billable,1
233160,Fly a Biplane 12,Billable,1
233161,Go See a All-Blacks Rugby Match Live 12,Billable,1
233177,Live in a Completely Sustainable Way For a Year 12,Billable,1
233295,Own 400 Books 12,Billable,1
238661,Sing in Public 15,Billable,1
238736,Learn to Play Acoustic Guitar 15,Billable,1
238743,Sit in Nature and Just Breathe 15,Billable,1
238893,Visit 15 Attractions of the Unesco World Heritage List 15,Billable,1
241043,Try Every Kind of Beer in Germany 16,Billable,1
241058,Take a Siesta in Spain 16,Billable,1
241090,Have a Shower 16,Billable,1
241094,Decorate a Tree For Christmas 16,Billable,1
241102,Dance Like No Ones Watching 16,Billable,1
243038,Master Drawing 18,Billable,1
243039,Film a Halloween Party 18,Billable,1
243055,Ask Someone to a Dance 18,Billable,1
243065,Make a Large Anonymous Donation to a Non-Profit 18,Billable,1
243315,"Say ""No"" and Don't Feel Bad About It 18",Billable,1
243350,Do Crosswords Every Day For a Month 18,Billable,1
243355,Try Nutella 18,Billable,1
243357,Do a Detailed Pumpkin Carving 18,Billable,1
243364,Taste Escargot 18,Billable,1
245654,Completely Give Up Fast Food For a Month 20,Billable,1
245661,Learn How to Sing 20,Billable,1
245664,Hand Write and Send Anonymous Letters 20,Billable,1
245689,"Donate Over $5,000 to Orphanages 20",Billable,1
245739,Play the Bagpipes 20,Billable,1
245740,Go to all the Monopoly Properties 20,Billable,1
245747,Tame a Tiger 20,Billable,1
245748,Own a Large Book Collection 20,Billable,1
246238,Study Math 20,Billable,1
246240,Become a Farmer 20,Billable,1
246263,Go Camping With my Best Friends 20,Billable,1
247701,Walk on Stilts 21,Billable,1
247711,Learn How to Take Criticism 21,Billable,1
247726,Find a Dream Job 21,Billable,1
247759,Visit Every Museum in NYC 21,Billable,1
247760,Create a Polaroid Wall 21,Billable,1
247769,Ride a Bike Through Paris 21,Billable,1
247770,Hike in Death Valley 21,Billable,1
249046,Hike the Entire Sentier De L'Etoile 22,Billable,1
249049,Ride the Bullet Train in Japan 22,Billable,1
249072,Play Monopoly 22,Billable,1
249073,Give Up Smoking 22,Billable,1
249074,Fly As a Passenger in a Fast Jet 22,Billable,1
249080,Go to a Nudist Beach 22,Billable,1
250209,Get Certified As a Financial Planner 22,Billable,1
250226,Drive the Hawaiian Coast 22,Billable,1
250227,Spend a Night in the Igloo Village in Finland 23,Billable,1
250416,Finish First Place 23,Billable,1
251287,Study Math 23,Billable,1
253333,Give Up Smoking 24,Billable,1
253341,Fly As a Passenger in a Fast Jet 24,Billable,1
253352,Go to a Nudist Beach 24,Billable,1
253366,Sing the National Anthem in Front of a Crowd 24,Billable,1
253384,Act in a Play 24,Billable,1
253518,Ride a Bike Through Paris 24,Billable,1
253519,Hike in Death Valley 24,Billable,1
253528,Become a Farmer 24,Billable,1
253560,Try White Hot Chocolate 24,Billable,1
253600,Hold Up a Free Hugs Sign 24,Billable,1
213878,Join the Mile High Club 25,Billable,1
217265,Go to a Film Premiere 26,Billable,1
217304,Completely Give Up Fast Food For a Month 26,Billable,1
217307,Learn How to Sing 26,Billable,1
218759,Collect Sand from 5 Countries 26,Billable,1
218760,Nutella Battle 26,Billable,1
218762,Read 100 Books in One Year 26,Billable,1
218775,Cross a Glacier on Foot 26,Billable,1
225410,Write a Song and Record It 27,Billable,1
225411,Be Proposed to in a Unique Way 27,Billable,1
228535,Take my Kids to Sea World 29,Billable,1
228536,Join a Mastermind 29,Billable,1
228537,Go Mountain Climbing 29,Billable,1
228544,Do Crosswords Every Day For a Month 29,Billable,1
228547,Try Nutella 29,Billable,1
228578,Learn to Vault 29,Billable,1
228580,Build a Greenhouse 29,Billable,1
228586,Find a Dream Job 29,Billable,1
228588,Visit Every Museum in NYC 29,Billable,1
229546,Learn Classical Dances 30,Billable,1
230402,Build a Disc Golf Course 30,Billable,1
231034,Start a Side Photography Business 30,Billable,1
231036,Feed Sharks 30,Billable,1
231037,See the Ruins of Pompeii 30,Billable,1
232362,Attend a Writing Class 31,Billable,1
233168,Attend a Concert 32,Billable,1
233174,Hike the Entire Thames Valley Trail 32,Billable,1
233298,Ride a Bike Through Paris 32,Billable,1
233340,Hike Gray (4840 Ft) 32,Billable,1
238665,See the Kremlin in Russia 35,Billable,1
238890,Work For a Feminist Organization 35,Billable,1
241053,Open an Animal Shelter 36,Billable,1
241062,Backpack Through Hells Canyon 36,Billable,1
243033,Hand Write and Send Anonymous Letters 38,Billable,1
243034,"Donate Over $5,000 to Orphanages 38",Billable,1
243044,Photoshoot Nude 38,Billable,1
243052,Sing a Bohemians Prague Song For 34 Minutes Straight 38,Billable,1
243059,Swim in the Red Sea 38,Billable,1
243068,Backpack Across South America 38,Billable,1
243070,Rope Swing Into Water 38,Billable,1
243109,Play the Bagpipes 38,Billable,1
243111,Go to all the Monopoly Properties 38,Billable,1
243112,Tame a Tiger 38,Billable,1
243117,Own a Large Book Collection 38,Billable,1
243118,Go Camping 38,Billable,1
243119,Appear As an Extra in a Period Drama 38,Billable,1
243127,Raft a Class 5 Rapid 38,Billable,1
243128,Become a Psychologist 38,Billable,1
243310,Hike all the 14Ers in Colorado 38,Billable,1
243311,Try New Food Every Month 38,Billable,1
243312,Go to a Blacklight Party 38,Billable,1
243344,Give Up Smoking 38,Billable,1
243360,Fly As a Passenger in a Fast Jet 38,Billable,1
245650,Get Certified As a Financial Planner 39,Billable,1
245660,Learn to Snorkel 39,Billable,1
245666,Create a Publication 39,Billable,1
245674,Eat Roasted Chestnuts on the Champs-Elysees 39,Billable,1
245682,Knit a Cushion Cover 39,Billable,1
245690,Drive the Hawaiian Coast 39,Billable,1
245700,Go Helmet Diving 40,Billable,1
245749,See the Redwoods 40,Billable,1
246236,Hike the Entire Thames Valley Trail 40,Billable,1
246261,Cook a Good Dinner 4 Times a Week 40,Billable,1
247698,Jump Out of a Plane With a Parachute 42,Billable,1
247699,Write a Full-Length Play 42,Billable,1
247705,Have a Wish at 11:11 Come True 42,Billable,1
247706,Learn to Swim 42,Billable,1
247707,Have a Seat in Government 42,Billable,1
247723,Learn How to Use Photoshop 42,Billable,1
247724,See Jerusalem 42,Billable,1
247754,See the Human Brain in Real Life 42,Billable,1
247757,Be on the Radio With my Own Song 42,Billable,1
247763,Learn to Play the Ocarina 42,Billable,1
247772,Sing in Public 42,Billable,1
249041,See the Tulips in Holland 43,Billable,1
249042,Attend a Broadway Show 43,Billable,1
249044,Create a Tradition of Getting Together 43,Billable,1
249051,Pass all my Exams 43,Billable,1
249053,"Have More Goals That Are ""Completed Things"" Than ""Things To-Do"" 43",Billable,1
249070,Go Kayaking 43,Billable,1
249077,Play the Bagpipes 43,Billable,1
249078,Go to all the Monopoly Properties 43,Billable,1
250205,Go Camping 44,Billable,1
250229,Build A Log Cabin For my Wife and I 44,Billable,1
251155,Join an Art Class 45,Billable,1
253338,Go to a Blacklight Party 46,Billable,1
253355,Bake a Cake For Someone Special 46,Billable,1
253548,Find a Dream Job 46,Billable,1
253562,Create a Polaroid Wall 46,Billable,1
253595,Write For a TV Sitcom 46,Billable,1
7302,Go to The Havana International Jazz Festival 1,Unbillable,2
10711,See the Redwoods 1,Billable,2
13016,Conquer Fear of Snakes 1,Billable,2
16016,Finish First Place 1,Unbillable,2
28499,Completely Give Up Fast Food For a Month 1,Billable,2
28500,Learn How to Sing 1,Billable,2
28501,Hand Write and Send Anonymous Letters 1,Billable,2
32177,Attend a Broadway Show 1,Unbillable,2
39516,Drive a 4 Wheeler 1,Billable,2
39521,Build A Log Cabin For my Wife and I 1,Billable,2
40407,Master Drawing 1,Billable,2
42764,Open a Restaurant 1,Billable,2
63973,Collect Sand from 5 Countries 1,Billable,2
3738,Be on the Radio With my Own Song 1,Billable,2
10715,Hike to Mt Everest Base Camp 1,Billable,2
32181,Eat at a Restaurant By Myself 1,Unbillable,2
32182,Travel to the Caribbean 1,Unbillable,2
32183,Try One Exotic Food a Day For a Month 1,Unbillable,2
32184,Get Retweeted By a Celebrity 1,Unbillable,2
39517,Go to a Nudist Beach 1,Billable,2
39520,Sing the National Anthem in Front of a Crowd 1,Billable,2
40406,Act in a Play 1,Billable,2
42759,Be the Sheriff of a Small Town 1,Billable,2
42761,Attend a Concert 1,Billable,2
42762,Hike the Entire Thames Valley Trail 1,Billable,2
42763,Stay in an Overwater Bungalow in Bora Bora 1,Billable,2
44264,Do Something New Every Month For a Year 1,Billable,2
44265,Learn to Do a Handstand 1,Billable,2
44266,Cook a Good Dinner 4 Times a Week 1,Billable,2
44267,Become a Stamp Collector 1,Billable,2
48711,"Say ""No"" and Don't Feel Bad About It 1",Billable,2
80371,Learn to Vault 1,Billable,2
80372,Build a Greenhouse 1,Billable,2
80373,Find a Dream Job 1,Billable,2
80379,Visit Every Museum in NYC 1,Billable,2
80381,Create a Polaroid Wall 1,Billable,2
80382,Spend the Night on a Football Field 1,Billable,2
92398,Become a Farmer 1,Billable,2
92399,Write For a TV Sitcom 1,Billable,2
101111,Learn Argentinean Tango in Argentina 1,Billable,2
107028,"Taste 1,000 Different Deserts 1",Billable,2
80370,Practice a Sport 1,Billable,2
80383,Compete in a 3 Point Basketball Contest 1,Billable,2
81579,Vegan For a Week 1,Billable,2
92400,Join the Mile High Club 1,Billable,2
109003,Dance Like No Ones Watching 1,Billable,2
109005,Write a Haiku 1,Billable,2
109006,Do 100 Sit Ups in 5 Minutes 1,Billable,2
107029,Stay Married For 50 Years 1,Billable,2
109008,Build a Website 1,Billable,2
109009,Create a Blog 1,Billable,2
109010,Create a Children's Book 1,Billable,2
118161,Go Bull Riding 1,Unbillable,2
115633,Finish First Place 2,Billable,2
115650,Ride a Double Decker Bus 2,Billable,2
122577,See the Tulips in Holland 2,Billable,2
128615,Tame a Tiger 2,Billable,2
130660,Have a Wish at 11:11 Come True 2,Billable,2
137830,Hike all the 14Ers in Colorado 2,Billable,2
156303,Go to a Restaurant Without Underwear 2,Billable,2
156336,Get 6-Pack Abs 2,Billable,2
145223,Take a Picture With an Interesting Stranger 2,Billable,2
156272,Go to Egypt 2,Billable,2
156337,Go Skinny Dipping at Midnight 2,Billable,2
168785,Attend a Poetry Reading 2,Billable,2
168786,Become a Famous Business Women 2,Billable,2
172227,Ride Every Single Ride at a Theme Park 2,Billable,2
172228,Build a Website 2,Billable,2
174854,Create a Children's Book 2,Billable,2
176940,Eat Roasted Chestnuts on the Champs-Elysees 2,Billable,2
176941,Knit a Cushion Cover 2,Billable,2
177817,Complete 4Hr Body Challenge 3,Billable,2
168320,Go Guerilla Gardening 3,Billable,2
168738,Learn to Swim 3,Billable,2
170201,See the Kremlin in Russia 3,Billable,2
170253,Learn How to Use Photoshop 3,Billable,2
172225,Learn to Play the Ocarina 3,Billable,2
172226,Sing in Public 3,Billable,2
182148,Taste Escargot 3,Billable,2
182157,Hike Basin (4827 Ft) 3,Billable,2
183125,Visit Every Museum in NYC 3,Billable,2
183208,Spend the Night on a Football Field 3,Billable,2
185366,Hike Gray (4840 Ft) 3,Billable,2
186728,Build a Disc Golf Course 3,Billable,2
186811,Camp in the Backyard 3,Billable,2
176977,Visit the Rockefeller Center 3,Billable,2
189444,Cross the Nile River 3,Billable,2
191031,Bake a Rainbow Cake 3,Billable,2
182160,Live in the Wilderness With Nothing But a Knife 4,Billable,2
182602,Become a Psychologist 4,Unbillable,2
183127,Ask Someone to a Dance 4,Billable,2
183128,Make a Large Anonymous Donation to a Non-Profit 4,Billable,2
183130,Make 50 Photos of Things That Make Me Happy 4,Billable,2
192900,Do Everything With my Left Hand For a Whole Day 4,Billable,2
193312,See the Human Brain in Real Life 4,Billable,2
194180,Go Swimming With Dolphins 4,Billable,2
196998,Ride the Bullet Train in Japan 4,Billable,2
197842,Sing the National Anthem in Front of a Crowd 4,Billable,2
183204,Act in a Play 4,Billable,2
185386,Visit 15 Attractions of the Unesco World Heritage List 4,Billable,2
186563,Go Mountain Climbing 4,Billable,2
186564,Do Crosswords Every Day For a Month 4,Billable,2
189464,Ride a Bike Through Paris 4,Billable,2
198284,Invest in a Business 4,Billable,2
198300,Snow Fight 4,Billable,2
198867,Learn Argentinean Tango in Argentina 4,Billable,2
198869,Design and Build my Dream House 4,Billable,2
199301,Go to a Garden Party 4,Billable,2
199302,Live in a Completely Sustainable Way For a Year 4,Billable,2
199304,"Have a Net Worth of $1,000,000 4",Billable,2
200412,Have a Trampoline in my Yard 4,Billable,2
200413,Think of Phrases to Say Before I Die 4,Billable,2
200439,Be on More Than 4 TV Shows 4,Billable,2
200440,Go to Egypt 4,Billable,2
203237,Learn How to Play the Uke 4,Billable,2
204808,Decorate a Tree For Christmas 4,Billable,2
204850,Dance Like No Ones Watching 4,Billable,2
204851,Write a Haiku 4,Billable,2
206364,Do Sudoku Every Day For a Year 4,Billable,2
206456,Build a Website 4,Billable,2
206457,Create a Blog 4,Billable,2
193256,Completely Give Up Fast Food For a Month 5,Billable,2
193257,Learn How to Sing 5,Billable,2
193598,"Donate Over $5,000 to Orphanages 5",Billable,2
194236,Sing a Bohemians Prague Song For 34 Minutes Straight 5,Billable,2
207900,Make 50 Photos of Things That Make Me Happy 5,Billable,2
208011,Open a Restaurant 5,Billable,2
208638,Sing a Solo in a Concert 5,Billable,2
209022,Learn to Swim 5,Billable,2
209148,Have a Seat in Government 5,Billable,2
209554,See the Human Brain in Real Life 5,Billable,2
209555,Be on the Radio With my Own Song 5,Billable,2
209556,Learn to Play the Ocarina 5,Billable,2
209572,Go Swimming With Dolphins 5,Billable,2
209914,Learn to Play Acoustic Guitar 5,Billable,2
209916,Sit in Nature and Just Breathe 5,Billable,2
197024,Fly As a Passenger in a Fast Jet 5,Billable,2
197784,Don't Use the Phone For a Day 5,Billable,2
198870,Cook a Good Dinner 4 Times a Week 5,Billable,2
198890,Become a Stamp Collector 5,Billable,2
210850,Spend the Night on a Football Field 5,Billable,2
210861,Ride a Bike Through Paris 5,Billable,2
211736,Go Camping With my Best Friends 5,Billable,2
211737,Walk Barefoot in the Rain 5,Billable,2
212781,Swim in the Nile 5,Billable,2
212783,Go to a Cherry Blossom Festival in Japan 5,Billable,2
212788,Get Certified As a Public Accountant 5,Billable,2
213106,Hold a Venomous Snake 5,Billable,2
213107,Direct my First Feature Film Before I'M 25 5,Billable,2
213308,Find a Job Before I Turn 18 5,Billable,2
213309,Work As a Tour Manager 5,Billable,2
213398,Learn Argentinean Tango in Argentina 5,Billable,2
214912,Volunteer With Big Brother Program 5,Billable,2
215030,Exercise For 3 Months 5,Billable,2
215163,Have a Shower 5,Billable,2
215531,Go Snow Tubing 5,Billable,2
215532,Attend a Poetry Reading 5,Billable,2
215556,Become a Famous Business Women 5,Billable,2
216322,Create a Children's Book 5,Billable,2
216323,Go to an Indian Wedding 5,Billable,2
216324,Help my Brother Find Out What He Wants to Do 5,Billable,2
216325,Eat a Gyro in Greece 5,Billable,2
216351,Climb 5 Mountains 5,Billable,2
216610,Publish an Article 5,Billable,2
216726,Be Kissed Unexpectedly in the Middle of a Sentence 5,Billable,2
216727,Hike the Continental Divide Trail 5,Billable,2
217008,Be Smiling in a Random Persons Photo in the Back 6,Billable,2
217009,Work For a Political Party 6,Billable,2
217027,Get Into a Pt School 6,Billable,2
217028,Become a Scratch Golfer 6,Billable,2
217042,Have a Silly String Fight 6,Billable,2
217068,Go to The Havana International Jazz Festival 6,Billable,2
217069,Do a Photo Shoot in a Field of Sunflowers 6,Billable,2
217077,Enter the Tough Guy Competition 6,Billable,2
217638,Learn How to Snowboard 6,Billable,2
217868,Create a Tradition of Getting Together 6,Billable,2
218102,Make a Large Anonymous Donation to a Non-Profit 6,Billable,2
218121,Become a Philanthropist 6,Billable,2
218128,Open a Restaurant 6,Billable,2
218146,Collect Sand from 5 Countries 6,Billable,2
218172,Read 100 Books in One Year 6,Billable,2
218195,Define my Own Utopia 6,Billable,2
218197,Cross a Glacier on Foot 6,Billable,2
218412,Sing a Solo in a Concert 6,Billable,2
218428,Learn Classical Dances 6,Billable,2
218822,Have a Wish at 11:11 Come True 6,Billable,2
218824,Learn to Swim 6,Billable,2
218889,Learn How to Use Photoshop 6,Billable,2
219199,Go on a Humanitarian Aid Trip 6,Billable,2
219200,Ride a Limo 6,Billable,2
219222,Learn to Play Acoustic Guitar 6,Billable,2
219223,Sit in Nature and Just Breathe 6,Billable,2
219332,Get Retweeted By a Celebrity 6,Billable,2
219448,Go to the Top of the Leaning Tower of Pisa 6,Billable,2
220033,Kiss on the Beach at Sunset 6,Billable,2
220136,Kiss Under Fireworks 6,Billable,2
220152,Learn to Do a Back-Handspring 6,Billable,2
220153,Explore Manhattan 6,Billable,2
220193,Become More Outgoing 6,Billable,2
220461,Walk on Stilts 6,Billable,2
220467,Learn How to Take Criticism 6,Billable,2
220594,Spend the Night on a Football Field 6,Billable,2
220595,Ride a Bike Through Paris 6,Billable,2
220596,Hike in Death Valley 6,Billable,2
220601,Study Math 6,Billable,2
220602,Become a Farmer 6,Billable,2
220603,Write For a TV Sitcom 6,Billable,2
220604,Attend a College Football Game 6,Billable,2
220676,Try White Hot Chocolate 6,Billable,2
220677,Go Camping With my Best Friends 6,Billable,2
220678,Walk Barefoot in the Rain 6,Billable,2
220679,"Reach 10,000 Likes on my Facebook Page 6",Billable,2
220686,Hike Gray (4840 Ft) 6,Billable,2
221228,Design and Build my Dream House 6,Billable,2
221244,Fly a Biplane 6,Billable,2
221423,Have a Trampoline in my Yard 6,Billable,2
221540,Compete in a 3 Point Basketball Contest 6,Billable,2
